person_id,username,password,role
7447677,,6538,Faculty
9898118,user_9898118,2080,Faculty
5662557,user_5662557,6898,Faculty
5687866,user_5687866,9719,Faculty
3557832,user_3557832,1198,Faculty
2592572,user_2592572,9707,Faculty
1554306,user_1554306,2008,Faculty
4788888,user_4788888,6711,Faculty
1863421,user_1863421,2053,Faculty
4865631,user_4865631,8840,Faculty
7476758,user_7476758,1621,Faculty
3938213,user_3938213,3284,Faculty
8382345,user_8382345,1091,Faculty
1042748,user_1042748,2079,Faculty
1228464,user_1228464,2545,Faculty
4850789,user_4850789,7732,Faculty
5484541,user_5484541,3641,Faculty
7998314,user_7998314,1146,Faculty
5086282,user_5086282,0205,Faculty
8466074,user_8466074,1345,Faculty
2567260,user_2567260,4777,Faculty
8347432,user_8347432,4999,Faculty
4720327,user_4720327,0160,Faculty
7525643,user_7525643,9453,Faculty
2472659,user_2472659,3856,Faculty
